sample_id,control,treatment_a,treatment_b,treatment_c,treatment_d,treatment_e
1,4.9,1.9,0.98,1.2,0.71,0.57
2,4.7,2.1,0.91,1.4,0.69,0.61
3,5.1,1.7,1.10,1.0,0.83,0.52
4,4.5,2.0,0.82,1.3,0.62,0.66
5,4.8,1.8,0.94,1.1,0.75,0.54
